,Close,ARIMA,SARIMAX,Prophet,LSTM_pred,LSTM_future
2012-05-18,38.22999954223633,,,20.585618136672977,,
2012-05-21,34.029998779296875,,,20.495610638026733,,
2012-05-22,31.0,,,20.81688475465971,,
2012-05-23,32.0,,,20.963297022471323,,
2012-05-24,33.029998779296875,,,21.0058238834986,,
2012-05-25,31.90999984741211,,,21.003939499343694,,
2012-05-29,28.84000015258789,,,21.193966556064023,,
2012-05-30,28.190000534057617,,,21.34336461682313,,
2012-05-31,29.600000381469727,,,21.393451158046748,,
2012-06-01,27.71999931335449,,,21.403197599630293,,
2012-06-04,26.89999961853028,,,21.327719303429703,,
2012-06-05,25.8700008392334,,,21.66927177162152,,
2012-06-06,26.809999465942383,,,21.842280462118715,,
2012-06-07,26.309999465942383,,,21.916826564356683,,
2012-06-08,27.100000381469727,,,21.951499476760063,,
2012-06-11,27.01000022888184,,,21.95116859889995,,
2012-06-12,27.39999961853028,,,22.317595302597,,
2012-06-13,27.270000457763672,,,22.515504796994065,,
2012-06-14,28.290000915527344,,,22.615195610403774,,
2012-06-15,30.01000022888184,,,22.675559738287365,,
2012-06-18,31.40999984741211,,,22.75953614758637,,
2012-06-19,31.90999984741211,,,23.15795700250682,,
2012-06-20,31.600000381469727,,,23.3905429490192,,
2012-06-21,31.84000015258789,,,23.52797709900696,,
2012-06-22,33.04999923706055,,,23.629460589803504,,
2012-06-25,32.060001373291016,,,23.858491629835232,,
2012-06-26,33.099998474121094,,,24.3122767071996,,
2012-06-27,32.22999954223633,,,24.60321596027429,,
2012-06-28,31.36000061035156,,,24.80141582391757,,
2012-06-29,31.100000381469727,,,24.965318582245285,,
2012-07-02,30.770000457763672,,,25.38134388064351,,
2012-07-03,31.200000762939453,,,25.893213953992262,,
2012-07-05,31.46999931335449,,,26.48345420328699,,
2012-07-06,31.729999542236328,,,26.6872419245395,,
2012-07-09,32.16999816894531,,,27.161685688343177,,
2012-07-10,31.46999931335449,,,27.66791199627068,,
